CH_PCB_[0>11],CH_PCB_[1>12],,CH_WEBUI,P1VHP,MUX,PWM,PCB NAME
10,11,-,3,1,MX1,,OUTL6_N
10,11,+,3,2,MX1,L6,OUTL6_P_SENSE
11,12,-,4,3,MX1,,OUTR6_N
11,12,+,4,4,MX1,R6,OUTR6_P_SENSE
8,9,-,1,5,MX1,,OUTL5_N
8,9,+,1,6,MX1,L5,OUTL5_P_SENSE
9,10,-,2,7,MX1,,OUTR5_N
9,10,+,2,8,MX1,R5,OUTR5_P_SENSE
6,7,-,7,9,MX1,,OUTL4_N
6,7,+,7,10,MX1,L4,OUTL4_P_SENSE
7,8,-,8,11,MX1,,OUTR4_N
7,8,+,8,12,MX1,R4,OUTR4_P_SENSE
4,5,-,5,13,MX1,,OUTL3_N
4,5,+,5,14,MX1,L3,OUTL3_P_SENSE
5,6,-,6,15,MX1,,OUTR3_N
5,6,+,6,16,MX1,R3,OUTR3_P_SENSE
2,3,-,,17,MX2,,OUTL2_N
2,3,+,,18,MX2,L2,OUTL2_P_SENSE
3,4,-,,19,MX2,,OUTR2_N
3,4,+,,20,MX2,R2,OUTR2_P_SENSE
0,1,-,,21,MX2,,OUTL1_N
0,1,+,,22,MX2,L1,OUTL1_P_SENSE
1,2,-,,23,MX2,,OUTR1_N
1,2,+,,24,MX2,R1,OUTR1_P_SENSE